#{"t_start": 1718439967.5925171, "env_id": "None"}
r,l,t
-6.932846,144,187.471653
-0.3885727,159,187.516493
40.01709,277,187.596017
37.68683,136,187.676496
-299.32968,481,190.266226
-418.9907,666,192.110614
-402.43112,701,192.450477
-366.7274,1000,195.488713
-389.97537,1000,195.488778
-355.35718,563,195.702803
-41.16559,137,196.306866
-53.159462,189,196.347658
-127.02586,542,196.624932
-28.174103,243,196.624993
37.37607,159,197.011533
-235.9173,687,197.031449
-381.31845,190,197.080855
-51.874447,168,197.184661
18.27459,215,197.314121
-29.8937,115,197.327241
-28.43055,108,197.365774
-481.96524,814,204.25389
-481.9023,851,204.74548
-367.6356,1000,206.490516
-369.92413,1000,206.490583
-365.92654,1000,206.490603
-187.75485,266,206.907425
0.24170685,166,207.095836
-48.673862,167,207.100458
-117.48416,404,207.303776
-247.84647,293,207.550337
9.638992,199,207.61882
-76.39278,226,215.092731
15.171806,232,215.108732
23.631546,232,215.260468
-5.15152,166,215.284149
-390.70218,744,221.838065
-237.04915,1000,225.452985
-286.64508,1000,225.453045
-300.72235,1000,225.453093
-349.93207,1000,225.453106
-1.1713715,167,226.022201
-8.057373,172,226.041908
-53.996338,186,226.095825
-192.95682,549,226.52321
-75.05197,192,226.804918
-49.288242,235,227.028336
37.857544,154,227.21486
-344.39606,1000,237.1186
-241.01697,1000,237.118713
-203.66927,1000,237.11873
-229.72643,1000,237.118759
-322.20554,1000,237.118772
-23.17073,111,237.391296
9.125061,119,237.413776
-2.416916,137,237.463031
-66.8984,215,237.679537
3.1560059,169,237.883973
-197.25102,291,237.918845
-26.161156,203,238.008405
-42.572586,216,238.357176
4.3396606,129,238.432527
-298.5686,549,242.174531
-305.06882,566,242.346651
-344.7776,627,242.852197
-255.89322,1000,246.625444
-289.7831,1000,246.625519
59.76071,159,247.617501
-0.80651855,179,247.754567
-78.0397,558,247.793301
-96.65197,630,247.854751
-174.76054,799,248.469064
-26.121979,173,248.482901
16.005981,225,248.589279
-58.334904,215,248.674758
12.922661,282,248.859255
31.422195,127,248.891927
-237.07916,360,250.44407
-272.29303,1000,257.735591
-358.59488,1000,257.735653
-208.6895,1000,257.7357
-286.9788,1000,257.735714
-25.351013,127,258.207313
-125.13137,172,258.402161
16.465462,184,258.454568
-169.90288,885,258.712798
-65.82826,147,258.969945
8.363243,151,259.028189
15.996269,253,259.197441
24.608429,144,266.787782
-167.46231,788,273.511912
-180.16504,844,274.259707
-195.45198,902,274.88118
-129.15703,1000,275.850286
-216.15959,1000,275.850354
-27.20642,454,277.13293
-21.593567,446,277.441753
-237.1433,1000,286.619618
-120.117905,1000,286.619731
-221.17107,1000,286.619765
-199.35631,1000,286.619778
-262.0354,1000,286.619789
17.631721,124,286.950002
-48.44921,150,287.035536
-37.955532,167,287.09192
-54.45596,224,287.27946
-23.06636,231,287.778994
-117.90636,408,288.014
-176.98436,740,295.394525
-194.06136,1000,299.804213
-175.23572,1000,299.80429
-166.51744,1000,299.804313
-224.95169,1000,299.804329
-27.786194,127,300.266497
-51.937366,158,300.397766
-98.20653,423,300.418932
-25.350243,135,300.911639
-19.95713,159,301.056921
-20.580894,291,301.608765
-101.48428,1000,311.992189
-146.5453,1000,311.992254
-207.35588,1000,311.992304
-201.37856,1000,311.992316
-218.67313,1000,311.992327
-44.424232,92,312.211204
1.8091049,114,312.274271
1.407898,114,312.274331
-26.724045,174,312.438514
4.408203,188,312.905926
-68.46323,224,312.968481
-19.574127,344,313.088389
-12.250328,174,313.101234
-103.61427,1000,332.635626
-142.46707,1000,332.63571
-85.50086,1000,332.635725
-97.360306,1000,332.635754
-124.44501,1000,332.635767
-13.233505,146,333.010768
17.113846,178,333.11669
22.327911,188,333.821576
-45.01501,355,333.937336
-20.305077,223,334.167089
-115.174034,1000,345.609763
-134.40417,1000,345.609824
-129.4251,1000,345.609873
-133.61703,1000,345.609885
-91.78391,1000,345.609904
-9.520325,142,345.940778
16.806091,187,346.084338
-40.669006,284,346.50899
-55.47289,1000,356.394936
-99.081375,1000,356.395054
-85.30171,1000,356.395087
-112.874054,1000,356.395099
-99.694244,1000,356.39511
14.606178,213,357.05969
-141.02295,1000,368.468252
-40.775387,1000,368.468358
-85.668015,1000,368.468537
-63.182423,1000,368.470372
-80.583405,1000,368.470408
4.6864014,179,368.978991
37.81198,126,369.658185
-121.98886,1000,384.913294
-71.473305,1000,384.913373
-102.68095,1000,384.913391
-83.30926,1000,384.913404
-70.088806,1000,384.913418
-79.39443,1000,394.90695
-129.47263,1000,394.907035
-83.95274,1000,394.907059
-82.81186,1000,394.907071
-104.2128,1000,394.90708
