#{"t_start": 1718461803.0062377, "env_id": "None"}
r,l,t
12.0,12,3.779179
11.0,11,3.784734
10.0,10,3.794102
10.0,10,3.795686
11.0,11,3.796537
11.0,11,3.803912
11.0,11,3.805476
12.0,12,3.814865
11.0,11,3.815674
10.0,10,3.820524
9.0,9,3.821382
14.0,14,3.825416
12.0,12,3.838208
12.0,12,3.843103
9.0,9,3.844002
12.0,12,3.844064
12.0,12,3.844858
8.0,8,3.857373
9.0,9,3.858919
11.0,11,3.864186
10.0,10,3.864254
12.0,12,3.868991
12.0,12,3.878778
12.0,12,3.88036
10.0,10,3.881221
10.0,10,3.889047
12.0,12,3.889889
10.0,10,3.895911
12.0,12,3.901842
9.0,9,3.90191
11.0,11,3.906695
12.0,12,3.906763
9.0,9,3.912224
10.0,10,3.92551
11.0,11,3.92558
11.0,11,3.926382
14.0,14,3.930819
10.0,10,3.938283
12.0,12,3.948767
12.0,12,3.949685
10.0,10,3.949752
14.0,14,3.954569
10.0,10,3.954634
9.0,9,3.965631
9.0,9,3.969364
12.0,12,3.974294
11.0,11,3.974362
10.0,10,3.974388
10.0,10,3.985596
9.0,9,3.990377
9.0,9,3.990443
12.0,12,3.994848
12.0,12,3.995695
9.0,9,4.006972
10.0,10,4.007027
9.0,9,4.007052
9.0,9,4.011432
10.0,10,4.016961
9.0,9,4.030246
9.0,9,4.030343
9.0,9,4.031888
11.0,11,4.031949
8.0,8,4.037164
9.0,9,4.049666
10.0,10,4.050432
10.0,10,4.059077
10.0,10,4.059145
9.0,9,4.059172
10.0,10,4.070308
11.0,11,4.070376
10.0,10,4.075476
10.0,10,4.075525
12.0,12,4.079333
9.0,9,4.090908
11.0,11,4.095385
13.0,13,4.095455
9.0,9,4.095481
16.0,16,4.104506
11.0,11,4.111814
9.0,9,4.111868
11.0,11,4.116292
11.0,11,4.11636
11.0,11,4.122611
10.0,10,4.131975
11.0,11,4.132833
12.0,12,4.144356
12.0,12,4.144425
12.0,12,4.146586
9.0,9,4.150619
10.0,10,4.156286
10.0,10,4.161154
10.0,10,4.161203
9.0,9,4.165537
11.0,11,4.191582
9.0,9,4.193905
13.0,13,4.197653
12.0,12,4.199306
11.0,11,4.204833
11.0,11,4.210674
10.0,10,4.215737
11.0,11,4.215792
10.0,10,4.224648
10.0,10,4.225518
11.0,11,4.232039
9.0,9,4.232819
11.0,11,4.241233
9.0,9,4.241309
10.0,10,4.243151
10.0,10,4.254762
11.0,11,4.260602
10.0,10,4.261486
11.0,11,4.265213
