#{"t_start": 1718462887.2558832, "env_id": "CartPole-v1"}
r,l,t
10.0,10,17.415611
10.0,10,17.449304
10.0,10,17.485792
8.0,8,17.523512
12.0,12,17.565631
9.0,9,17.598359
9.0,9,17.63795
11.0,11,17.675584
9.0,9,17.713502
8.0,8,17.743021
10.0,10,17.779794
9.0,9,17.812496
9.0,9,17.851613
10.0,10,17.887924
8.0,8,17.916269
9.0,9,17.950642
10.0,10,17.990328
10.0,10,18.018739
9.0,9,18.056818
10.0,10,18.093498
8.0,8,18.121896
10.0,10,18.161646
8.0,8,18.189938
10.0,10,18.229773
10.0,10,18.267946
10.0,10,18.303833
9.0,9,18.332678
8.0,8,18.365099
10.0,10,18.402118
10.0,10,18.439493
9.0,9,18.479559
8.0,8,18.504874
9.0,9,18.53702
8.0,8,18.573166
9.0,9,18.606353
10.0,10,18.633971
10.0,10,18.676839
9.0,9,18.707367
8.0,8,18.733631
12.0,12,18.779147
9.0,9,18.810465
10.0,10,18.844404
9.0,9,18.879364
10.0,10,18.916523
9.0,9,18.948281
9.0,9,18.983092
10.0,10,19.020613
11.0,11,19.055057
9.0,9,19.088281
10.0,10,19.127716
9.0,9,19.158645
11.0,11,19.212544
9.0,9,19.28182
